Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption Comb (L/100 km),number_of_gears,CO2 Emissions(g/km)
SUBARU,SUV - SMALL,2.0,4,M,X,9.1,5,214
TOYOTA,MID-SIZE,2.5,4,AV,X,4.9,0,113
INFINITI,MID-SIZE,2.0,4,AS,Z,9.7,7,228
MASERATI,MID-SIZE,3.0,6,AS,Z,12.8,8,294
NISSAN,SUV - SMALL,3.5,6,AV,X,11.8,0,271
VOLKSWAGEN,SUV - SMALL,2.0,4,AS,X,10.2,8,237
CHEVROLET,SUV - STANDARD,5.3,8,A,X,13.8,6,325
TOYOTA,MINIVAN,3.5,6,AS,X,11.3,6,260
DODGE,FULL-SIZE,3.6,6,A,X,11.5,5,264
BMW,SUBCOMPACT,2.0,4,AS,Z,8.9,8,205
KIA,STATION WAGON - SMALL,1.6,4,AS,X,8.9,6,205
KIA,COMPACT,1.6,4,A,X,7.6,6,175
CHEVROLET,SUV - SMALL,2.4,4,A,E,14.2,6,227
CHRYSLER,MID-SIZE,3.6,6,A,X,10.7,9,246
PORSCHE,SUV - SMALL,3.6,6,A,Z,12.3,7,286
ALFA ROMEO,MID-SIZE,2.0,4,A,Z,8.7,8,205
MAZDA,COMPACT,2.5,4,M,X,8.0,6,189
NISSAN,COMPACT,1.6,4,AV,X,6.7,0,158
BENTLEY,SUBCOMPACT,4.0,8,AS,Z,13.4,8,314
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,12.7,6,297
FORD,PICKUP TRUCK - STANDARD,2.7,6,AS,X,12.3,6,288
CHEVROLET,SUV - SMALL,3.6,6,A,X,11.4,9,269
PORSCHE,SUV - STANDARD,2.9,6,AS,Z,11.9,8,278
CADILLAC,SUV - STANDARD,6.2,8,A,Z,14.5,6,334
JEEP,SUV - SMALL,2.4,4,A,X,9.6,9,225
INFINITI,STATION WAGON - SMALL,3.7,6,AS,Z,11.9,7,280
ACURA,MID-SIZE,3.5,6,AM,Z,7.7,7,177
CADILLAC,FULL-SIZE,3.6,6,AS,X,11.3,6,260
CHEVROLET,VAN - PASSENGER,4.8,8,A,X,18.0,6,414
MERCEDES-BENZ,MID-SIZE,4.0,8,A,Z,13.5,9,318
HYUNDAI,COMPACT,1.6,4,AM,X,8.1,6,191
MAZDA,SUV - SMALL,2.0,4,AS,X,8.2,6,192
LEXUS,MID-SIZE,3.4,6,AS,Z,11.1,10,262
GMC,SUV - STANDARD,6.2,8,A,Z,13.8,8,323
AUDI,SUBCOMPACT,2.0,4,AS,Z,9.9,8,231
PORSCHE,MINICOMPACT,3.0,6,AM,Z,10.4,7,243
BMW,SUBCOMPACT,2.0,4,AS,Z,8.9,8,208
CHEVROLET,SUV - STANDARD,5.3,8,A,E,18.4,6,294
MERCEDES-BENZ,FULL-SIZE,6.0,12,AS,Z,14.6,7,349
FORD,PICKUP TRUCK - STANDARD,2.7,6,AS,X,11.2,6,263
GMC,SUV - STANDARD,5.3,8,A,X,13.8,6,325
NISSAN,SUV - STANDARD,5.6,8,AS,X,15.5,7,364
MERCEDES-BENZ,SUV - SMALL,2.0,4,AS,Z,8.7,7,200
KIA,STATION WAGON - SMALL,1.6,4,M,X,9.0,6,208
MINI,TWO-SEATER,1.6,4,M,Z,7.8,6,179
CHEVROLET,SUV - STANDARD,5.3,8,A,X,13.0,6,299
BMW,SUV - SMALL,2.0,4,AS,Z,9.1,8,213
CHRYSLER,FULL-SIZE,3.6,6,A,X,10.3,8,242
CHEVROLET,PICKUP TRUCK - SMALL,3.6,6,A,X,11.9,6,279
CHEVROLET,TWO-SEATER,6.2,8,M,Z,11.9,7,278
BMW,SUBCOMPACT,3.0,6,M,Z,10.4,6,239
CHEVROLET,PICKUP TRUCK - SMALL,2.8,4,A,D,10.5,6,283
MAZDA,COMPACT,2.5,4,AS,X,7.4,6,173
FORD,SUV - STANDARD,3.5,6,AS,X,13.0,6,299
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS,Z,15.2,7,363
MERCEDES-BENZ,COMPACT,6.0,12,AS,Z,15.0,7,345
BMW,SUBCOMPACT,3.0,6,M,Z,10.8,6,248
KIA,FULL-SIZE,3.8,6,AS,X,11.8,8,278
CADILLAC,FULL-SIZE,3.0,6,AS,Z,11.3,10,267
CADILLAC,MID-SIZE,3.6,6,AS,X,9.9,8,233
DODGE,FULL-SIZE,6.4,8,A,Z,13.0,8,304
NISSAN,MID-SIZE,1.6,4,AV,X,7.0,0,164
MERCEDES-BENZ,MID-SIZE,4.0,8,A,Z,11.2,9,261
LAND ROVER,SUV - SMALL,2.0,4,AS,Z,10.5,9,246
PORSCHE,MINICOMPACT,3.8,6,AM,Z,11.4,7,266
SCION,STATION WAGON - SMALL,2.4,4,M,X,9.8,5,225
FORD,SUV - STANDARD,2.3,4,AS,X,11.3,6,265
HYUNDAI,SUV - SMALL,3.3,6,A,X,11.6,6,267
MINI,SUBCOMPACT,1.5,3,M,Z,7.2,6,170
SUBARU,MINICOMPACT,2.0,4,M,Z,9.7,6,228
TOYOTA,SUV - SMALL,3.5,6,AS,X,10.3,8,240
AUDI,COMPACT,2.0,4,AM,Z,7.8,7,182
FORD,MID-SIZE,2.5,4,AS,X,8.9,6,205
KIA,SUV - SMALL,2.0,4,AS,X,11.3,6,261
CHRYSLER,FULL-SIZE,5.7,8,A,X,12.3,8,283
INFINITI,MID-SIZE,3.0,6,AS,Z,11.1,7,260
KIA,COMPACT,1.6,4,AS,X,9.4,6,218
CHEVROLET,STATION WAGON - SMALL,1.8,4,M,X,8.0,5,187
BMW,SUV - STANDARD,3.0,6,AS,D,8.7,8,235
AUDI,MID-SIZE,2.0,4,AS,Z,10.2,8,235
HYUNDAI,FULL-SIZE,5.0,8,AS,Z,14.2,8,332
AUDI,SUV - SMALL,3.0,6,AS,Z,12.2,8,285
SCION,COMPACT,2.5,4,AS,X,9.0,6,211
CADILLAC,SUV - SMALL,2.0,4,AS,Z,9.8,9,227
BMW,SUV - SMALL,2.0,4,AS,Z,10.0,8,233
NISSAN,PICKUP TRUCK - SMALL,4.0,6,A,X,12.8,5,300
MERCEDES-BENZ,TWO-SEATER,4.7,8,AS,Z,12.3,7,289
HYUNDAI,SUV - SMALL,2.4,4,A,X,10.6,6,244
CADILLAC,COMPACT,2.5,4,AS,X,9.3,6,214
BMW,COMPACT,4.4,8,A,Z,12.2,8,281
VOLKSWAGEN,COMPACT,2.0,4,M,X,8.5,6,199
TOYOTA,PICKUP TRUCK - SMALL,3.5,6,M,X,12.9,6,300
DODGE,SUV - SMALL,3.6,6,A,X,12.4,6,285
HYUNDAI,COMPACT,1.6,4,M,X,8.0,6,184
CHEVROLET,COMPACT,1.4,4,M,X,7.5,6,173
FORD,SUBCOMPACT,5.2,8,M,Z,14.5,6,342
LINCOLN,MID-SIZE,2.0,4,AS,X,8.9,6,205
CHRYSLER,COMPACT,2.4,4,A,X,10.7,6,246
BMW,MID-SIZE,2.0,4,AS,Z,9.1,8,213
LINCOLN,SUV - STANDARD,3.5,6,AS,X,12.8,6,294
MERCEDES-BENZ,MINICOMPACT,2.0,4,AM,Z,9.2,7,217
MAZDA,SUV - SMALL,2.5,4,AS,X,8.1,6,190
LINCOLN,SUV - SMALL,2.0,4,AS,X,9.8,8,229
MERCEDES-BENZ,FULL-SIZE,5.5,8,AS,Z,13.2,7,313
MERCEDES-BENZ,STATION WAGON - MID-SIZE,5.5,8,AS,Z,13.5,7,310
TOYOTA,COMPACT,1.8,4,M,X,7.1,6,165
MERCEDES-BENZ,FULL-SIZE,6.0,12,AS,Z,15.5,7,361
CHEVROLET,SUV - STANDARD,5.3,8,A,E,19.1,6,319
HONDA,COMPACT,1.5,4,M,Z,7.4,6,173
NISSAN,SUV - SMALL,2.5,4,AV,X,8.2,0,194
PORSCHE,MINICOMPACT,3.8,6,AM,Z,11.4,7,267
PORSCHE,SUV - STANDARD,3.0,6,A,Z,10.9,8,251
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.0,10,281
PORSCHE,MINICOMPACT,3.0,6,M,Z,10.5,7,246
MAZDA,MID-SIZE,2.5,4,AS,X,8.0,6,187
KIA,COMPACT,1.6,4,M,X,9.2,6,216
HYUNDAI,FULL-SIZE,2.5,4,AS,X,7.7,8,182
MERCEDES-BENZ,TWO-SEATER,5.5,8,AS,Z,10.7,7,246
JEEP,SUV - SMALL,2.0,4,AV,X,10.0,0,235
BENTLEY,MID-SIZE,4.0,8,AS,Z,13.8,8,321
KIA,MINIVAN,3.3,6,AS,X,11.4,6,269
FORD,SUBCOMPACT,2.3,4,M,X,10.3,6,241
CHRYSLER,MID-SIZE,3.6,6,A,X,10.7,9,250
JAGUAR,TWO-SEATER,3.0,6,AS,Z,10.6,8,244
BMW,MID-SIZE,3.0,6,AS,D,7.9,8,212
LINCOLN,SUV - SMALL,2.7,6,AS,X,12.1,6,283
BUICK,SUV - STANDARD,3.6,6,AS,X,11.8,9,277
MERCEDES-BENZ,MID-SIZE,3.0,6,AS,Z,10.8,7,253
PORSCHE,FULL-SIZE,3.6,6,AM,Z,10.9,7,251
JEEP,SUV - SMALL,3.6,6,M,X,12.8,6,294
JEEP,SUV - SMALL,3.6,6,A,X,13.4,5,308
MERCEDES-BENZ,SUBCOMPACT,6.0,12,A,Z,14.3,9,337
MERCEDES-BENZ,SUBCOMPACT,4.0,8,A,Z,12.1,7,285
LEXUS,COMPACT,2.0,4,AS,Z,9.0,8,212
SUBARU,COMPACT,2.0,4,AV,Z,11.2,8,255
VOLKSWAGEN,COMPACT,1.4,4,M,X,7.6,6,177
CADILLAC,COMPACT,3.6,6,AS,Z,11.9,8,279
SUBARU,SUV - SMALL,2.5,4,M,X,9.6,6,221
DODGE,MID-SIZE,2.4,4,A,X,9.2,6,215
MERCEDES-BENZ,MID-SIZE,2.1,4,AS,D,7.2,7,194
BMW,SUBCOMPACT,3.0,6,AS,Z,9.8,8,228
HONDA,MID-SIZE,2.0,4,M,X,7.4,6,172
FORD,SUBCOMPACT,5.8,8,M,Z,13.2,6,304
DODGE,SUV - STANDARD,5.7,8,A,X,14.1,8,331
BUICK,MID-SIZE,3.6,6,AS,E,16.5,6,264
MERCEDES-BENZ,SUV - SMALL,2.0,4,AS,E,12.0,7,128
FORD,SPECIAL PURPOSE VEHICLE,2.5,4,AS,X,10.4,6,244
LEXUS,SUV - SMALL,2.5,4,AV,X,7.4,6,172
VOLKSWAGEN,SUV - SMALL,2.0,4,AS,Z,10.7,6,256
ACURA,MID-SIZE,3.5,6,AS,Z,10.0,6,235
CHRYSLER,MID-SIZE,2.4,4,A,E,11.7,9,192
AUDI,MID-SIZE,4.0,8,AS,Z,10.7,8,246
VOLVO,COMPACT,2.0,4,AS,Z,9.5,8,221
LINCOLN,SUV - SMALL,2.3,4,AS,X,9.8,8,230
RAM,PICKUP TRUCK - STANDARD,3.6,6,A,E,17.0,8,283
TOYOTA,COMPACT,1.8,4,AV,X,7.3,0,170
BMW,TWO-SEATER,2.0,4,AS,Z,8.5,8,200
FORD,SUBCOMPACT,2.3,4,AS,X,10.3,10,242
LAMBORGHINI,TWO-SEATER,6.5,12,AM,Z,17.9,7,420
CADILLAC,COMPACT,3.6,6,AS,X,10.6,8,248
HONDA,MID-SIZE,1.5,4,AV,X,6.7,0,157
GMC,SUV - STANDARD,2.5,4,A,X,10.5,6,248
PORSCHE,TWO-SEATER,3.4,6,AM,Z,9.8,7,225
INFINITI,MID-SIZE,5.6,8,AS,Z,12.4,7,285
FORD,SUV - STANDARD,3.5,6,AS,X,12.5,10,294
MERCEDES-BENZ,COMPACT,5.5,8,AS,Z,13.2,7,304
GMC,SUV - STANDARD,5.3,8,A,X,13.0,6,299
VOLVO,STATION WAGON - SMALL,3.0,6,AS,X,11.2,6,259
HONDA,STATION WAGON - SMALL,1.5,4,A,X,7.5,5,172
BMW,COMPACT,3.0,6,M,Z,9.9,6,231
FORD,SUBCOMPACT,3.7,6,A,X,10.2,6,235
FORD,PICKUP TRUCK - STANDARD,3.3,6,AS,E,14.8,6,245
CHEVROLET,SUV - SMALL,1.4,4,AS,X,9.0,6,207
JEEP,SUV - SMALL,2.0,4,A,X,9.1,9,214
CHEVROLET,SUV - STANDARD,3.6,6,A,X,11.8,9,277
MAZDA,COMPACT,2.0,4,AS,X,7.6,6,178
GMC,PICKUP TRUCK - STANDARD,6.2,8,A,Z,14.3,6,329
INFINITI,MID-SIZE,3.0,6,AS,Z,10.6,7,249
BMW,SUBCOMPACT,4.4,8,A,Z,12.7,8,292
TOYOTA,MID-SIZE,2.5,4,AV,X,6.0,0,138
BMW,FULL-SIZE,6.0,12,AS,Z,15.5,8,356
TOYOTA,MID-SIZE,1.8,4,AV,X,4.5,0,104
KIA,STATION WAGON - SMALL,1.6,4,AM,X,4.8,6,114
LAND ROVER,SUV - SMALL,2.0,4,AS,Z,10.7,9,252
TOYOTA,SUV - SMALL,2.7,4,AS,X,10.3,6,237
BMW,MID-SIZE,2.0,4,A,Z,8.8,8,202
MAZDA,COMPACT,2.0,4,AS,X,7.6,6,179
AUDI,SUBCOMPACT,3.0,6,AS,Z,10.5,8,245
BUICK,FULL-SIZE,2.0,4,AS,Z,9.2,9,217
VOLVO,COMPACT,2.0,4,AS,Z,8.4,8,197
CHEVROLET,SUV - SMALL,1.4,4,AS,X,8.3,6,194
MERCEDES-BENZ,SUV - SMALL,2.0,4,AS,Z,9.3,7,216
BMW,SUBCOMPACT,3.0,6,AM,Z,12.1,7,283
CHEVROLET,MID-SIZE,1.5,4,AV,X,7.5,0,189
HYUNDAI,FULL-SIZE,1.6,4,AM,X,4.3,6,102
JEEP,SUV - SMALL,2.0,4,A,X,10.6,9,249
KIA,SUV - SMALL,2.4,4,AS,X,10.4,6,245
HONDA,MID-SIZE,3.5,6,AS,X,9.6,6,221
GMC,VAN - PASSENGER,4.8,8,A,X,18.0,6,414
FORD,SUV - SMALL,2.0,4,AS,X,9.2,6,216
PORSCHE,MINICOMPACT,3.0,6,AM,Z,9.4,7,221
BMW,SUV - STANDARD,4.4,8,A,Z,13.9,8,320
FORD,PICKUP TRUCK - STANDARD,5.0,8,AS,E,17.7,6,291
INFINITI,MID-SIZE,3.0,6,AS,Z,10.9,7,256
FORD,SUBCOMPACT,1.0,3,M,X,6.6,5,153
NISSAN,STATION WAGON - SMALL,1.6,4,AV,X,8.2,7,189
LINCOLN,MID-SIZE,3.0,6,AS,X,11.8,6,278
FORD,SUBCOMPACT,2.3,4,AS,X,9.4,10,219
JAGUAR,FULL-SIZE,3.0,6,AS,Z,11.8,8,276
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,X,12.2,8,288
VOLKSWAGEN,MID-SIZE,2.0,4,AM,D,6.9,6,185
CADILLAC,COMPACT,2.0,4,AS,Z,9.2,8,216
BUICK,MID-SIZE,3.6,6,AS,X,11.4,6,268
CHEVROLET,COMPACT,1.8,4,M,X,8.1,5,190
BENTLEY,MID-SIZE,6.0,12,AM,Z,16.0,8,373
CHEVROLET,MID-SIZE,1.4,4,M,X,7.1,6,167
MITSUBISHI,SUV - SMALL,2.4,4,AV,X,9.0,6,207
FORD,PICKUP TRUCK - STANDARD,3.5,6,A,X,12.5,6,292
MINI,COMPACT,1.6,4,A,Z,9.0,6,207
RAM,PICKUP TRUCK - STANDARD,3.6,6,A,X,11.9,8,279
HYUNDAI,SUV - SMALL,3.3,6,AS,X,12.6,6,297
JAGUAR,MINICOMPACT,5.0,8,AS,Z,13.1,6,301
HYUNDAI,COMPACT,1.6,4,M,X,8.5,6,196
VOLVO,COMPACT,2.5,5,AS,X,10.3,6,239
JEEP,SUV - SMALL,2.0,4,A,X,9.8,9,229
CHEVROLET,SUV - SMALL,2.4,4,A,X,9.1,6,209
GMC,SUV - STANDARD,6.2,8,A,Z,14.1,8,330
GMC,PICKUP TRUCK - STANDARD,5.3,8,A,E,19.5,6,325
TOYOTA,SUV - STANDARD,2.5,4,AV,X,6.7,0,158
FIAT,STATION WAGON - SMALL,1.4,4,A,X,9.4,6,221
MAZDA,MID-SIZE,2.0,4,M,X,7.1,6,167
JAGUAR,TWO-SEATER,3.0,6,AS,Z,11.3,8,264
VOLKSWAGEN,COMPACT,2.0,4,M,Z,9.8,6,225
MITSUBISHI,SUV - SMALL,3.0,6,AS,Z,10.1,6,232
ASTON MARTIN,MINICOMPACT,6.0,12,A,Z,14.7,8,346
NISSAN,SUV - SMALL,3.5,6,AV,X,10.6,0,244
MERCEDES-BENZ,COMPACT,3.0,6,AS,Z,10.4,7,231
RAM,PICKUP TRUCK - STANDARD,5.7,8,A,X,14.1,8,330
AUDI,SUV - SMALL,2.0,4,AM,Z,9.9,7,230
SUBARU,MINICOMPACT,2.0,4,M,Z,9.8,6,229
FORD,FULL-SIZE,3.5,6,AS,X,10.4,6,239
JEEP,SUV - SMALL,2.0,4,A,X,9.8,6,225
MERCEDES-BENZ,SUBCOMPACT,3.0,6,A,Z,10.5,9,245
BMW,SUV - STANDARD,3.0,6,AS,D,9.3,8,249
TOYOTA,PICKUP TRUCK - SMALL,2.7,4,M,X,12.3,5,283
MASERATI,FULL-SIZE,3.8,8,AS,Z,13.8,8,321
LEXUS,MID-SIZE,3.5,6,AS,Z,10.9,6,254
HONDA,STATION WAGON - SMALL,1.5,4,AV,X,6.4,0,150
PORSCHE,MINICOMPACT,3.8,6,M,Z,10.9,7,251
KIA,SUV - SMALL,2.0,4,AS,X,11.0,6,261
FORD,SUV - SMALL,2.0,4,AS,X,9.3,6,217
HONDA,MID-SIZE,2.4,4,AV,X,8.1,7,186
BUICK,COMPACT,2.0,4,AS,Z,9.9,6,228
CHEVROLET,SUBCOMPACT,6.2,8,M,Z,12.6,6,297
MERCEDES-BENZ,COMPACT,4.7,8,A,Z,11.7,9,275
SUBARU,SUV - SMALL,2.0,4,AV,Z,9.5,0,218
MERCEDES-BENZ,SUV - STANDARD,5.5,8,AS,Z,16.3,7,375
MAZDA,MID-SIZE,2.5,4,AS,X,7.2,6,166
KIA,MID-SIZE,1.8,4,M,X,7.9,6,186
VOLKSWAGEN,STATION WAGON - SMALL,2.0,4,AM,D,6.7,6,180
AUDI,MID-SIZE,4.0,8,AS,Z,10.7,8,249
CHEVROLET,SUV - SMALL,2.4,4,A,X,10.0,6,235
HONDA,STATION WAGON - SMALL,1.8,4,AV,X,8.5,7,200
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,E,16.8,6,269
MERCEDES-BENZ,SUV - STANDARD,4.7,8,AS,Z,15.5,7,365
TOYOTA,SUV - SMALL,3.5,6,AS,X,11.0,6,253
TOYOTA,SUV - SMALL,2.5,4,AS,X,7.9,8,184
LEXUS,SUBCOMPACT,3.5,6,AV,Z,8.0,10,187
LEXUS,MID-SIZE,3.5,6,AV,Z,7.5,8,172
AUDI,MID-SIZE,4.0,8,AS,Z,13.1,8,309
TOYOTA,SUV - SMALL,2.5,4,AS,X,8.3,8,190
JEEP,SUV - SMALL,2.4,4,M,X,9.3,5,218
AUDI,SUBCOMPACT,3.0,6,AM,Z,11.4,7,262
HYUNDAI,SUV - SMALL,2.0,4,A,X,9.3,6,214
VOLKSWAGEN,COMPACT,2.0,4,M,X,8.5,6,198
CADILLAC,SUV - STANDARD,6.2,8,A,Z,14.3,8,329
FORD,SUV - STANDARD,3.5,6,AS,X,12.7,6,298
HYUNDAI,SUV - SMALL,2.0,4,AS,X,9.1,6,216
MINI,SUBCOMPACT,1.6,4,M,Z,7.8,6,179
PORSCHE,SUV - STANDARD,3.6,6,A,Z,12.8,8,300
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS,Z,10.6,7,244
NISSAN,MID-SIZE,1.6,4,M,X,7.6,5,179
FORD,COMPACT,1.0,3,AS,X,7.3,6,171
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,13.1,8,306
NISSAN,MID-SIZE,1.6,4,M,Z,8.7,6,204
PORSCHE,TWO-SEATER,2.5,4,AM,Z,9.9,7,230
MERCEDES-BENZ,TWO-SEATER,2.0,4,A,Z,8.5,9,200
FORD,VAN - PASSENGER,3.5,6,AS,X,14.5,10,340
DODGE,FULL-SIZE,3.6,6,A,E,15.0,8,248
DODGE,MID-SIZE,1.4,4,AM,X,7.3,6,171
GMC,VAN - PASSENGER,5.3,8,A,X,16.5,4,380
TOYOTA,MID-SIZE,2.5,4,AV,X,5.9,0,137
HYUNDAI,MID-SIZE,2.0,4,M,X,8.7,6,204
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A,E,18.0,6,294
TOYOTA,MID-SIZE,1.8,4,A,X,7.7,4,177
KIA,COMPACT,1.6,4,M,X,7.7,6,177
BMW,MID-SIZE,3.0,6,A,Z,9.3,8,214
JEEP,SUV - SMALL,2.4,4,A,E,14.0,9,231
FORD,VAN - PASSENGER,3.7,6,AS,X,15.2,6,356
JEEP,SUV - STANDARD,3.0,6,A,D,10.0,8,268
SUBARU,MID-SIZE,2.5,4,AV,X,8.3,7,193
CHEVROLET,STATION WAGON - SMALL,1.8,4,M,X,8.3,5,194
TOYOTA,SUV - SMALL,3.5,6,AS,X,11.3,6,263
BMW,COMPACT,3.0,6,M,Z,10.3,6,241
BMW,SUV - SMALL,2.0,4,AS,D,7.9,8,213
FORD,COMPACT,2.0,4,M,E,10.8,5,179
TOYOTA,COMPACT,1.5,4,AS,X,6.4,6,151
BMW,SUBCOMPACT,3.0,6,M,Z,11.4,6,267
CHRYSLER,MID-SIZE,2.4,4,A,X,9.8,4,225
FORD,SUV - SMALL,1.5,4,AS,X,9.6,6,226
TOYOTA,MID-SIZE,1.8,4,AV,X,7.5,7,178
CHRYSLER,MID-SIZE,3.6,6,A,E,14.1,9,226
CHEVROLET,MID-SIZE,1.5,4,A,X,7.6,6,179
AUDI,SUBCOMPACT,2.0,4,AM,Z,9.4,7,220
CHEVROLET,TWO-SEATER,6.2,8,AS,Z,12.0,6,276
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A,X,14.8,6,349
CHEVROLET,PICKUP TRUCK - STANDARD,5.3,8,A,X,15.1,6,354
MINI,MINICOMPACT,1.5,3,AS,Z,7.9,6,184
ROLLS-ROYCE,COMPACT,6.6,12,AS,Z,16.7,8,390
ROLLS-ROYCE,MID-SIZE,6.6,12,AS,Z,16.5,8,387
BMW,COMPACT,3.0,6,AM,Z,11.9,7,280
MAZDA,SUV - SMALL,2.5,4,AS,X,8.8,6,206
CHEVROLET,PICKUP TRUCK - STANDARD,4.3,6,A,X,11.9,6,280
MERCEDES-BENZ,SUV - STANDARD,4.0,8,AS,Z,17.9,7,401
MINI,COMPACT,1.6,4,AS,Z,8.7,6,200
DODGE,MID-SIZE,6.4,8,A,Z,13.0,8,305
MERCEDES-BENZ,MID-SIZE,3.0,6,A,Z,10.4,9,245
CHEVROLET,SUV - STANDARD,5.3,8,A,X,13.4,6,314
MERCEDES-BENZ,SUV - SMALL,2.0,4,A,Z,10.0,9,234
BMW,SUV - SMALL,2.0,4,AS,Z,9.0,8,210
PORSCHE,FULL-SIZE,4.0,8,AM,Z,11.9,8,279
NISSAN,TWO-SEATER,3.7,6,M,Z,11.8,6,271
LEXUS,SUV - SMALL,3.5,6,AS,X,11.1,8,255
AUDI,TWO-SEATER,4.2,8,M,Z,17.7,6,407
LAMBORGHINI,TWO-SEATER,5.2,10,M,Z,17.4,6,400
DODGE,SUV - SMALL,2.4,4,A,X,11.1,4,261
GENESIS,FULL-SIZE,5.0,8,AS,Z,13.0,8,306
CHRYSLER,FULL-SIZE,5.7,8,A,X,13.4,5,308
KIA,STATION WAGON - SMALL,2.0,4,AS,X,8.8,6,202
BMW,FULL-SIZE,4.4,8,AS,Z,12.5,8,292
FORD,SUV - SMALL,3.5,6,AS,X,12.1,6,284
FORD,MID-SIZE,2.0,4,AS,X,10.2,6,238
MINI,SUBCOMPACT,2.0,4,M,Z,9.2,6,212
DODGE,FULL-SIZE,3.6,6,A,X,10.9,8,251
BMW,FULL-SIZE,2.0,4,AS,Z,9.1,8,213
BMW,MID-SIZE,3.0,6,AS,Z,10.2,8,238
BUICK,SUV - STANDARD,3.6,6,A,X,13.7,6,323
PORSCHE,TWO-SEATER,2.5,4,AM,Z,10.6,7,249
SUBARU,SUV - SMALL,2.5,4,M,X,9.8,6,225
DODGE,FULL-SIZE,3.6,6,A,X,11.5,5,271
TOYOTA,MID-SIZE,1.8,4,AV,X,7.3,0,171
GMC,PICKUP TRUCK - STANDARD,4.3,6,A,X,12.6,6,296
FORD,PICKUP TRUCK - STANDARD,6.2,8,AS,X,18.0,6,414
JEEP,SUV - SMALL,2.0,4,M,X,9.3,5,216
VOLVO,SUV - SMALL,2.5,5,AS,X,10.3,6,237
FORD,COMPACT,2.0,4,AM,X,7.9,6,185
CHEVROLET,FULL-SIZE,3.6,6,AS,X,10.9,6,255
INFINITI,SUV - SMALL,3.5,6,AV,Z,10.6,0,244
CADILLAC,FULL-SIZE,3.6,6,AS,X,11.0,8,259
JEEP,SUV - SMALL,3.6,6,M,X,12.2,6,285
FORD,TWO-SEATER,3.5,6,AM,Z,16.6,7,393
BMW,SUBCOMPACT,3.0,6,AS,Z,9.9,8,231
GMC,PICKUP TRUCK - SMALL,2.5,4,A,X,10.7,6,252
MERCEDES-BENZ,SUBCOMPACT,3.0,6,A,Z,10.8,9,251
CHEVROLET,COMPACT,2.0,4,M,Z,9.8,6,229
MINI,MINICOMPACT,2.0,4,AS,Z,8.4,6,197
RAM,PICKUP TRUCK - STANDARD,3.0,6,A,D,10.6,8,283
GENESIS,FULL-SIZE,5.0,8,AS,Z,14.2,8,332
GENESIS,FULL-SIZE,3.3,6,AS,Z,11.9,8,282
MINI,STATION WAGON - SMALL,1.5,3,M,Z,9.1,6,214
CADILLAC,SUV - SMALL,3.6,6,AS,X,11.6,9,270
CHEVROLET,PICKUP TRUCK - SMALL,2.8,4,A,D,9.6,6,257
HYUNDAI,SUV - SMALL,2.0,4,AS,X,11.5,6,264
HONDA,MID-SIZE,3.5,6,M,X,10.9,6,254
PORSCHE,MINICOMPACT,3.0,6,AM,Z,10.7,7,249
HONDA,FULL-SIZE,1.5,4,M,Z,7.2,6,167
FORD,SUV - STANDARD,3.5,6,AS,X,12.1,6,278
ACURA,SUV - SMALL,2.0,4,AS,Z,10.3,10,242
BMW,SUBCOMPACT,2.0,4,AS,Z,8.7,8,204
VOLVO,COMPACT,2.0,4,AS,X,8.3,8,193
ASTON MARTIN,TWO-SEATER,4.0,8,M,Z,14.2,7,333
MINI,SUBCOMPACT,1.5,3,AS,Z,7.5,6,172
MERCEDES-BENZ,SUBCOMPACT,3.5,6,AS,Z,10.2,7,235
INFINITI,SUV - STANDARD,2.5,4,AV,X,8.7,7,204
MAZDA,TWO-SEATER,2.0,4,AS,Z,10.2,6,235
TOYOTA,MID-SIZE,2.5,4,AV,X,5.7,0,134
KIA,SUV - SMALL,2.0,4,AS,X,11.0,6,259
FORD,PICKUP TRUCK - STANDARD,3.5,6,AS,X,12.4,10,291
MERCEDES-BENZ,TWO-SEATER,6.0,12,AS,Z,14.5,7,340
CHEVROLET,SUV - SMALL,2.5,4,A,X,10.2,9,238
AUDI,SUBCOMPACT,3.0,6,AM,Z,9.9,8,232
TOYOTA,MID-SIZE,1.8,4,AV,X,6.9,0,162
NISSAN,SPECIAL PURPOSE VEHICLE,2.0,4,AV,X,9.4,0,216
CADILLAC,SUV - SMALL,3.6,6,AS,X,11.1,8,260
BUICK,SUV - SMALL,1.4,4,AS,X,9.2,6,212
CHEVROLET,COMPACT,1.4,4,AS,X,8.0,6,188
PORSCHE,SUV - SMALL,3.6,6,A,Z,12.3,7,283
PORSCHE,MINICOMPACT,3.8,6,AM,Z,10.5,7,245
